index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
121,starmie,water,psychic,illuminate,natural-cure,analytic,60,75,85,100,85,115,520,FALSE,FALSE,generation-i,0,0,0,0,0,0
122,mr-mime,psychic,fairy,soundproof,filter,technician,40,45,65,100,120,90,460,FALSE,FALSE,generation-i,0,0,0,0.06,0,0
122,mr-mime-galar,ice,psychic,vital-spirit,screen-cleaner,ice-body,50,65,65,90,90,100,460,FALSE,FALSE,generation-i,0,0,0,0,0,0
123,scyther,bug,flying,swarm,technician,steadfast,70,110,80,55,80,105,500,FALSE,FALSE,generation-i,0.00159,0.00649,0.00488,0,0,0.07
124,jynx,ice,psychic,oblivious,forewarn,dry-skin,65,50,35,115,95,95,455,FALSE,FALSE,generation-i,0.08565,0,0,0.04,0,0
125,electabuzz,electric,No_type,static,No_ability,vital-spirit,65,83,57,95,85,105,490,FALSE,FALSE,generation-i,0,0,0.11324,0,0,10.24
126,magmar,fire,No_type,flame-body,No_ability,vital-spirit,65,95,57,100,85,93,495,FALSE,FALSE,generation-i,0,0,0.43853,0,0,10.58
127,pinsir,bug,No_type,hyper-cutter,mold-breaker,moxie,65,125,100,55,70,85,500,FALSE,FALSE,generation-i,0,0,0,0,0,0
127,pinsir-mega,bug,flying,aerilate,No_ability,None,65,155,120,65,90,105,600,FALSE,FALSE,generation-i,0,0,0,0,0,0
128,tauros,normal,No_type,intimidate,anger-point,sheer-force,75,100,95,40,70,110,490,FALSE,FALSE,generation-i,0.00109,0.00101,0.00168,0,0,0
128,tauros-paldea-combat,fighting,No_type,intimidate,anger-point,cud-chew,75,110,105,30,70,100,490,FALSE,FALSE,generation-i,0,0,2.00E-05,0,0,0
128,tauros-paldea-blaze,fighting,fire,intimidate,anger-point,cud-chew,75,110,105,30,70,100,490,FALSE,FALSE,generation-i,0,NA,0.02578,0,0.15,0.47
128,tauros-paldea-aqua,fighting,water,intimidate,anger-point,cud-chew,75,110,105,30,70,100,490,FALSE,FALSE,generation-i,0,NA,0.03032,0,0.06,0.88
129,magikarp,water,No_type,swift-swim,No_ability,rattled,20,10,55,15,20,80,200,FALSE,FALSE,generation-i,0,0,0,0.08,0,0
130,gyarados,water,flying,intimidate,No_ability,moxie,95,125,79,60,100,81,540,FALSE,FALSE,generation-i,0.11423,NA,0.72103,0.23,0.93,0.5
130,gyarados-mega,water,dark,mold-breaker,No_ability,None,95,155,109,70,130,81,640,FALSE,FALSE,generation-i,0,0,0,0,0,0
131,lapras,water,ice,water-absorb,shell-armor,hydration,130,85,80,85,95,60,535,FALSE,FALSE,generation-i,NA,0,0.02388,0.29,0,0.05
131,lapras-gmax,water,ice,water-absorb,shell-armor,hydration,130,85,80,85,95,60,535,FALSE,FALSE,generation-i,0,0,0,0,0,0
132,ditto,normal,No_type,limber,No_ability,imposter,48,48,48,48,48,48,288,FALSE,FALSE,generation-i,NA,0,0.02251,1.6,0,0
133,eevee,normal,No_type,run-away,adaptability,anticipation,55,55,50,45,65,55,325,FALSE,FALSE,generation-i,0,0,0,0,0,0.05
133,eevee-starter,normal,No_type,run-away,adaptability,anticipation,65,75,70,65,85,75,435,FALSE,FALSE,generation-i,0,0,0,0,0,0
133,eevee-gmax,normal,No_type,run-away,adaptability,anticipation,55,55,50,45,65,55,325,FALSE,FALSE,generation-i,0,0,0,0,0,0
134,vaporeon,water,No_type,water-absorb,No_ability,hydration,130,65,60,110,95,65,525,FALSE,FALSE,generation-i,0.00484,0.42939,0.00777,0,0,0
135,jolteon,electric,No_type,volt-absorb,No_ability,quick-feet,65,65,60,110,95,130,525,FALSE,FALSE,generation-i,0.01735,0.01662,0.00748,0,0,0
136,flareon,fire,No_type,flash-fire,No_ability,guts,65,130,60,95,110,65,525,FALSE,FALSE,generation-i,0.0001,0.00235,0.00082,0,0,0
137,porygon,normal,No_type,trace,download,analytic,65,60,70,85,75,40,395,FALSE,FALSE,generation-i,0,0,0,0,0,0
138,omanyte,rock,water,swift-swim,shell-armor,weak-armor,35,40,100,90,55,35,355,FALSE,FALSE,generation-i,0,0,0,0,0,0
139,omastar,rock,water,swift-swim,shell-armor,weak-armor,70,60,125,115,70,55,495,FALSE,FALSE,generation-i,0.00116,0,0,0,0,0
140,kabuto,rock,water,swift-swim,battle-armor,weak-armor,30,80,90,55,45,55,355,FALSE,FALSE,generation-i,0,0,0,0,0,0
141,kabutops,rock,water,swift-swim,battle-armor,weak-armor,60,115,105,65,70,80,495,FALSE,FALSE,generation-i,0.00512,0,0,0,0,0
142,aerodactyl,rock,flying,rock-head,pressure,unnerve,80,105,65,60,75,130,515,FALSE,FALSE,generation-i,0.03223,0,0,0.1,0,0
142,aerodactyl-mega,rock,flying,tough-claws,No_ability,None,80,135,85,70,95,150,615,FALSE,FALSE,generation-i,0,0,0,0,0,0
143,snorlax,normal,No_type,immunity,thick-fat,gluttony,160,110,65,65,110,30,540,FALSE,FALSE,generation-i,0.09956,NA,0.12706,0.68,0.49,0.05
143,snorlax-gmax,normal,No_type,immunity,thick-fat,gluttony,160,110,65,65,110,30,540,FALSE,FALSE,generation-i,0,0,0,0,0,0
144,articuno,ice,flying,pressure,No_ability,snow-cloak,90,85,100,95,125,85,580,TRUE,FALSE,generation-i,0.00441,0.25015,0.14175,0,0,0
144,articuno-galar,psychic,flying,competitive,No_ability,None,90,85,85,125,100,95,580,TRUE,FALSE,generation-i,0.14347,0.77831,0.16038,0,0.19,0
145,zapdos,electric,flying,pressure,No_ability,static,90,90,85,125,90,100,580,TRUE,FALSE,generation-i,NA,NA,0.21902,4.71,0.73,0
145,zapdos-galar,fighting,flying,defiant,No_ability,None,90,125,90,85,90,100,580,TRUE,FALSE,generation-i,0.28285,0.72719,0.97368,0,0.39,0
146,moltres,fire,flying,pressure,No_ability,flame-body,90,100,90,125,85,90,580,TRUE,FALSE,generation-i,0,0.18912,0.00767,0,0.06,0
146,moltres-galar,dark,flying,berserk,No_ability,None,90,85,90,100,125,90,580,TRUE,FALSE,generation-i,NA,NA,NA,0.75,0.67,0
147,dratini,dragon,No_type,shed-skin,No_ability,marvel-scale,41,64,45,50,50,50,300,FALSE,FALSE,generation-i,0,0,0,0,0,0
148,dragonair,dragon,No_type,shed-skin,No_ability,marvel-scale,61,84,65,70,70,70,420,FALSE,FALSE,generation-i,0,0,0,0,0,0
149,dragonite,dragon,flying,inner-focus,No_ability,multiscale,91,134,95,100,100,80,600,FALSE,FALSE,generation-i,0.24606,NA,NA,0,11.19,21.84
150,mewtwo,psychic,No_type,pressure,No_ability,unnerve,106,110,90,154,90,130,680,TRUE,FALSE,generation-i,0.09673,0,0.10214,0.06,0,0
150,mewtwo-mega-x,psychic,fighting,steadfast,No_ability,None,106,190,100,154,100,130,780,TRUE,FALSE,generation-i,0,0,0,0,0,0
150,mewtwo-mega-y,psychic,No_type,insomnia,No_ability,None,106,150,70,194,120,140,780,TRUE,FALSE,generation-i,0,0,0,0,0,0
151,mew,psychic,No_type,synchronize,No_ability,None,100,100,100,100,100,100,600,FALSE,TRUE,generation-i,0,0,0,0,0,0
152,chikorita,grass,No_type,overgrow,No_ability,leaf-guard,45,49,65,49,65,45,318,FALSE,FALSE,generation-ii,0,0,0,0,0,0
153,bayleef,grass,No_type,overgrow,No_ability,leaf-guard,60,62,80,63,80,60,405,FALSE,FALSE,generation-ii,0,0,0,0,0,0
154,meganium,grass,No_type,overgrow,No_ability,leaf-guard,80,82,100,83,100,80,525,FALSE,FALSE,generation-ii,0,0,0,0,0,0
155,cyndaquil,fire,No_type,blaze,No_ability,flash-fire,39,52,43,60,50,65,309,FALSE,FALSE,generation-ii,0,0,0,0,0,0
156,quilava,fire,No_type,blaze,No_ability,flash-fire,58,64,58,80,65,80,405,FALSE,FALSE,generation-ii,0,0,0,0,0,0
157,typhlosion,fire,No_type,blaze,No_ability,flash-fire,78,84,78,109,85,100,534,FALSE,FALSE,generation-ii,0,0.12151,0.00632,0,0,0
157,typhlosion-hisui,fire,ghost,blaze,No_ability,frisk,73,84,78,119,85,95,534,FALSE,FALSE,generation-ii,0,NA,0.09273,0,0,3.97
158,totodile,water,No_type,torrent,No_ability,sheer-force,50,65,64,44,48,43,314,FALSE,FALSE,generation-ii,0,0,0,0,0,0
159,croconaw,water,No_type,torrent,No_ability,sheer-force,65,80,80,59,63,58,405,FALSE,FALSE,generation-ii,0,0,0,0,0,0
160,feraligatr,water,No_type,torrent,No_ability,sheer-force,85,105,100,79,83,78,530,FALSE,FALSE,generation-ii,0,0,0.03425,0,0,0
161,sentret,normal,No_type,run-away,keen-eye,frisk,35,46,34,35,45,20,215,FALSE,FALSE,generation-ii,0,0,0,0,0,0
162,furret,normal,No_type,run-away,keen-eye,frisk,85,76,64,45,55,90,415,FALSE,FALSE,generation-ii,0,0.033,0.00428,0,0,0
163,hoothoot,normal,flying,insomnia,keen-eye,tinted-lens,60,30,30,36,56,50,262,FALSE,FALSE,generation-ii,0,0,0,0,0,0
164,noctowl,normal,flying,insomnia,keen-eye,tinted-lens,100,50,50,86,96,70,452,FALSE,FALSE,generation-ii,0,0.00113,5.00E-05,0,0,0
165,ledyba,bug,flying,swarm,early-bird,rattled,40,20,30,40,80,55,265,FALSE,FALSE,generation-ii,0,0,0,0,0,0
166,ledian,bug,flying,swarm,early-bird,iron-fist,55,35,50,55,110,85,390,FALSE,FALSE,generation-ii,0,0,0,0,0,0
167,spinarak,bug,poison,swarm,insomnia,sniper,40,60,40,40,40,30,250,FALSE,FALSE,generation-ii,0,0.00302,0,0,0,0
168,ariados,bug,poison,swarm,insomnia,sniper,70,90,70,60,70,40,400,FALSE,FALSE,generation-ii,0,0.00294,0.00382,0,0,0
169,crobat,poison,flying,inner-focus,No_ability,infiltrator,85,90,80,70,80,130,535,FALSE,FALSE,generation-ii,0.03343,0,0,0,0,0
170,chinchou,water,electric,volt-absorb,illuminate,water-absorb,75,38,38,56,56,67,330,FALSE,FALSE,generation-ii,0,0,0,0,0,0
171,lanturn,water,electric,volt-absorb,illuminate,water-absorb,125,58,58,76,76,67,460,FALSE,FALSE,generation-ii,0,0,0.00762,0,0,0
172,pichu,electric,No_type,static,No_ability,lightning-rod,20,40,15,35,35,60,205,FALSE,FALSE,generation-ii,0,0,0,0,0,0
173,cleffa,fairy,No_type,cute-charm,magic-guard,friend-guard,50,25,28,45,55,15,218,FALSE,FALSE,generation-ii,0,3.00E-05,0,0,0,0
174,igglybuff,normal,fairy,cute-charm,competitive,friend-guard,90,30,15,40,20,15,210,FALSE,FALSE,generation-ii,0,0,0,0,0,0
175,togepi,fairy,No_type,hustle,serene-grace,super-luck,35,20,65,40,65,20,245,FALSE,FALSE,generation-ii,0,0,0,0,0,0
176,togetic,fairy,flying,hustle,serene-grace,super-luck,55,40,85,80,105,40,405,FALSE,FALSE,generation-ii,0.02331,0,0,0,0,0
177,natu,psychic,flying,synchronize,early-bird,magic-bounce,40,50,45,70,45,70,320,FALSE,FALSE,generation-ii,0,0,0,0,0,0
178,xatu,psychic,flying,synchronize,early-bird,magic-bounce,65,75,70,95,70,95,470,FALSE,FALSE,generation-ii,0,0,0,0,0,0
179,mareep,electric,No_type,static,No_ability,plus,55,40,40,65,45,35,280,FALSE,FALSE,generation-ii,0,0,0,0,0,0
180,flaaffy,electric,No_type,static,No_ability,plus,70,55,55,80,60,45,365,FALSE,FALSE,generation-ii,0,0,0,0,0,0
181,ampharos,electric,No_type,static,No_ability,plus,90,75,85,115,90,55,510,FALSE,FALSE,generation-ii,0,0.0258,0.00596,0,0,0
181,ampharos-mega,electric,dragon,mold-breaker,No_ability,None,90,95,105,165,110,45,610,FALSE,FALSE,generation-ii,0,0,0,0,0,0
182,bellossom,grass,No_type,chlorophyll,No_ability,healer,75,80,95,90,100,50,490,FALSE,FALSE,generation-ii,0,0,0.00233,0,0,0
183,marill,water,fairy,thick-fat,huge-power,sap-sipper,70,20,50,20,50,40,250,FALSE,FALSE,generation-ii,0,0,0,0,0,0
184,azumarill,water,fairy,thick-fat,huge-power,sap-sipper,100,50,80,60,80,50,420,FALSE,FALSE,generation-ii,0.06595,NA,0.17367,0.06,0.47,0.11
185,sudowoodo,rock,No_type,sturdy,rock-head,rattled,70,100,115,30,65,30,410,FALSE,FALSE,generation-ii,0,0,0.00018,0,0,0
186,politoed,water,No_type,water-absorb,damp,drizzle,90,75,75,90,100,70,500,FALSE,FALSE,generation-ii,0.086,NA,0.3112,0,0.43,0.34
187,hoppip,grass,flying,chlorophyll,leaf-guard,infiltrator,35,35,40,35,55,50,250,FALSE,FALSE,generation-ii,0,0,0,0,0,0
188,skiploom,grass,flying,chlorophyll,leaf-guard,infiltrator,55,45,50,45,65,80,340,FALSE,FALSE,generation-ii,0,0,0,0,0,0
189,jumpluff,grass,flying,chlorophyll,leaf-guard,infiltrator,75,55,70,55,95,110,460,FALSE,FALSE,generation-ii,0,0.54504,0.159,0,0,2.85
190,aipom,normal,No_type,run-away,pickup,skill-link,55,70,55,40,55,85,360,FALSE,FALSE,generation-ii,0,0,0,0,0,0
191,sunkern,grass,No_type,chlorophyll,solar-power,early-bird,30,30,30,30,30,30,180,FALSE,FALSE,generation-ii,0,0,0,0,0,0
192,sunflora,grass,No_type,chlorophyll,solar-power,early-bird,75,75,55,105,85,30,425,FALSE,FALSE,generation-ii,0,0.00056,0.00112,0,0,0
193,yanma,bug,flying,speed-boost,compound-eyes,frisk,65,65,45,75,45,95,390,FALSE,FALSE,generation-ii,0,2.00E-05,0,0,0,0.04
194,wooper,water,ground,damp,water-absorb,unaware,55,45,45,25,25,15,210,FALSE,FALSE,generation-ii,0,0,0,0,0,0
194,wooper-paldea,poison,ground,poison-point,water-absorb,unaware,55,45,45,25,25,15,210,FALSE,FALSE,generation-ii,0,0,0,0,0,0
195,quagsire,water,ground,damp,water-absorb,unaware,95,85,85,65,65,35,430,FALSE,FALSE,generation-ii,0,0.00549,0.00102,0,0.06,0
196,espeon,psychic,No_type,synchronize,No_ability,magic-bounce,65,65,60,130,95,110,525,FALSE,FALSE,generation-ii,0.00465,0.01149,0.03198,0,0.04,0.04
197,umbreon,dark,No_type,synchronize,No_ability,inner-focus,95,65,110,60,130,65,525,FALSE,FALSE,generation-ii,NA,0.46572,0.04294,2.63,0,0.04
198,murkrow,dark,flying,insomnia,super-luck,prankster,60,85,42,85,42,91,405,FALSE,FALSE,generation-ii,0,NA,0.17628,0,0,2.74
199,slowking,water,psychic,oblivious,own-tempo,regenerator,95,75,80,100,110,30,490,FALSE,FALSE,generation-ii,0.00019,0.08981,0.09133,0,0,0.07
199,slowking-galar,poison,psychic,curious-medicine,own-tempo,regenerator,95,65,80,110,110,30,490,FALSE,FALSE,generation-ii,0.00544,0.11105,0.03606,0,0,0
200,misdreavus,ghost,No_type,levitate,No_ability,None,60,60,60,85,85,85,435,FALSE,FALSE,generation-ii,0,0.00276,0.0111,0,0,0
201,unown,psychic,No_type,levitate,No_ability,None,48,72,48,72,48,48,336,FALSE,FALSE,generation-ii,0,0,0,0,0,0
202,wobbuffet,psychic,No_type,shadow-tag,No_ability,telepathy,190,33,58,33,58,33,405,FALSE,FALSE,generation-ii,1.00E-05,0,0,0,0,0
203,girafarig,normal,psychic,inner-focus,early-bird,sap-sipper,70,80,65,90,65,85,455,FALSE,FALSE,generation-ii,0,0,0.00093,0,0,0
204,pineco,bug,No_type,sturdy,No_ability,overcoat,50,65,90,35,35,15,290,FALSE,FALSE,generation-ii,0,0,0,0,0,0
205,forretress,bug,steel,sturdy,No_ability,overcoat,75,90,140,60,60,40,465,FALSE,FALSE,generation-ii,0,0.00501,0.00282,0,0,0
206,dunsparce,normal,No_type,serene-grace,run-away,rattled,100,70,70,65,65,45,415,FALSE,FALSE,generation-ii,1.00E-05,0.00135,4.00E-05,0,0,0
207,gligar,ground,flying,hyper-cutter,sand-veil,immunity,65,75,105,35,65,85,430,FALSE,FALSE,generation-ii,0,0.00025,0,0,0,0
208,steelix,steel,ground,rock-head,sturdy,sheer-force,75,85,200,55,65,30,510,FALSE,FALSE,generation-ii,0,0,0,0,0,0
208,steelix-mega,steel,ground,sand-force,No_ability,None,75,125,230,55,95,30,610,FALSE,FALSE,generation-ii,0,0,0,0,0,0
209,snubbull,fairy,No_type,intimidate,run-away,rattled,60,80,50,40,40,30,300,FALSE,FALSE,generation-ii,0,0,0,0,0,0
210,granbull,fairy,No_type,intimidate,quick-feet,rattled,90,120,75,60,60,45,450,FALSE,FALSE,generation-ii,0,0,0.01013,0,0,0
211,qwilfish,water,poison,poison-point,swift-swim,intimidate,65,95,85,55,55,85,440,FALSE,FALSE,generation-ii,0.00243,0,0,0,0,0
211,qwilfish-hisui,dark,poison,poison-point,swift-swim,intimidate,65,95,85,55,55,85,440,FALSE,FALSE,generation-ii,0,0.13226,0.00605,0,0.09,0
212,scizor,bug,steel,swarm,technician,light-metal,70,130,100,55,80,65,500,FALSE,FALSE,generation-ii,0.05268,NA,0.46289,0,0.41,0
212,scizor-mega,bug,steel,technician,No_ability,None,70,150,140,65,100,75,600,FALSE,FALSE,generation-ii,0,0,0,0,0,0
213,shuckle,bug,rock,sturdy,gluttony,contrary,20,10,230,10,230,5,505,FALSE,FALSE,generation-ii,0.20286,0,0,0.04,0,0
214,heracross,bug,fighting,swarm,guts,moxie,80,125,75,40,95,85,500,FALSE,FALSE,generation-ii,3.00E-05,0.00242,0.00765,0,0,0.04
214,heracross-mega,bug,fighting,skill-link,No_ability,None,80,185,115,40,105,75,600,FALSE,FALSE,generation-ii,0,0,0,0,0,0
215,sneasel,dark,ice,inner-focus,keen-eye,pickpocket,55,95,55,35,75,115,430,FALSE,FALSE,generation-ii,0.0025,0.00046,0.00567,0.14,0,0
215,sneasel-hisui,fighting,poison,inner-focus,keen-eye,pickpocket,55,95,55,35,75,115,430,FALSE,FALSE,generation-ii,0,1.00E-05,5.00E-05,0,0,0.11
216,teddiursa,normal,No_type,pickup,quick-feet,honey-gather,60,80,50,50,50,40,330,FALSE,FALSE,generation-ii,0,0,0,0,0,0
217,ursaring,normal,No_type,guts,quick-feet,unnerve,90,130,75,75,75,55,500,FALSE,FALSE,generation-ii,0,0.0508,2.00E-05,0,0,0
218,slugma,fire,No_type,magma-armor,flame-body,weak-armor,40,40,40,70,40,20,250,FALSE,FALSE,generation-ii,0,0,0,0,0,0
219,magcargo,fire,rock,magma-armor,flame-body,weak-armor,60,50,120,90,80,30,430,FALSE,FALSE,generation-ii,0,0.00287,0.00048,0,0,0
220,swinub,ice,ground,oblivious,snow-cloak,thick-fat,50,50,40,30,30,50,250,FALSE,FALSE,generation-ii,0,0,0,0,0,0
221,piloswine,ice,ground,oblivious,snow-cloak,thick-fat,100,100,80,60,60,50,450,FALSE,FALSE,generation-ii,0,0.02666,0,0,0,0
222,corsola,water,rock,hustle,natural-cure,regenerator,65,55,95,65,95,35,410,FALSE,FALSE,generation-ii,0,0,0,0,0,0
222,corsola-galar,ghost,No_type,weak-armor,No_ability,cursed-body,60,55,100,65,100,30,410,FALSE,FALSE,generation-ii,0.00316,0,0,0,0,0
223,remoraid,water,No_type,hustle,sniper,moody,35,65,35,65,35,65,300,FALSE,FALSE,generation-ii,0,0,0,0,0,0
224,octillery,water,No_type,suction-cups,sniper,moody,75,105,75,105,75,45,480,FALSE,FALSE,generation-ii,0,0,0,0,0,0
225,delibird,ice,flying,vital-spirit,hustle,insomnia,45,55,45,65,45,75,330,FALSE,FALSE,generation-ii,0,0.01117,0,0,0,0
226,mantine,water,flying,swift-swim,water-absorb,water-veil,85,40,70,80,140,70,485,FALSE,FALSE,generation-ii,0.01735,0,0,0.04,0,0
227,skarmory,steel,flying,keen-eye,sturdy,weak-armor,65,80,140,40,70,70,465,FALSE,FALSE,generation-ii,0.00017,0,0.00795,0,0,0
228,houndour,dark,fire,early-bird,flash-fire,unnerve,45,60,30,80,50,65,330,FALSE,FALSE,generation-ii,0,0,0,0,0,0
229,houndoom,dark,fire,early-bird,flash-fire,unnerve,75,90,50,110,80,95,500,FALSE,FALSE,generation-ii,0,0.00433,0.00058,0,0,0
229,houndoom-mega,dark,fire,solar-power,No_ability,None,75,90,90,140,90,115,600,FALSE,FALSE,generation-ii,0,0,0,0,0,0
230,kingdra,water,dragon,swift-swim,sniper,damp,75,95,95,95,95,85,540,FALSE,FALSE,generation-ii,NA,0,0.22696,0.23,0,0.09
231,phanpy,ground,No_type,pickup,No_ability,sand-veil,90,60,60,40,40,40,330,FALSE,FALSE,generation-ii,0,0,0,0,0,0
232,donphan,ground,No_type,sturdy,No_ability,sand-veil,90,120,120,60,60,50,500,FALSE,FALSE,generation-ii,0,0.01344,0.00062,0,0,0
233,porygon2,normal,No_type,trace,download,analytic,85,80,90,105,95,60,515,FALSE,FALSE,generation-ii,NA,0,NA,13.21,0,13.72
234,stantler,normal,No_type,intimidate,frisk,sap-sipper,73,95,62,85,65,85,465,FALSE,FALSE,generation-ii,0,0.01101,0.00425,0,0,0
235,smeargle,normal,No_type,own-tempo,technician,moody,55,20,35,20,45,75,250,FALSE,FALSE,generation-ii,0,0,NA,0,0,0.2
236,tyrogue,fighting,No_type,guts,steadfast,vital-spirit,35,35,35,35,35,35,210,FALSE,FALSE,generation-ii,0,0,0,0,0,0
237,hitmontop,fighting,No_type,intimidate,technician,steadfast,50,95,95,35,110,70,455,FALSE,FALSE,generation-ii,0.44831,0,0.27462,0.14,0,0.04
238,smoochum,ice,psychic,oblivious,forewarn,hydration,45,30,15,85,65,65,305,FALSE,FALSE,generation-ii,0,0,0,0,0,0
239,elekid,electric,No_type,static,No_ability,vital-spirit,45,63,37,65,55,95,360,FALSE,FALSE,generation-ii,0,0,0,0,0,0.04
240,magby,fire,No_type,flame-body,No_ability,vital-spirit,45,75,37,70,55,83,365,FALSE,FALSE,generation-ii,0,0,0,0,0,0
241,miltank,normal,No_type,thick-fat,scrappy,sap-sipper,95,80,105,40,70,100,490,FALSE,FALSE,generation-ii,0,0,0,0,0,0
242,blissey,normal,No_type,natural-cure,serene-grace,healer,255,10,10,75,135,55,540,FALSE,FALSE,generation-ii,0.00243,0.00559,0.00862,0,0,0
243,raikou,electric,No_type,pressure,No_ability,inner-focus,90,85,75,115,100,115,580,TRUE,FALSE,generation-ii,0.15819,0,0.15887,0.19,0,0
244,entei,fire,No_type,pressure,No_ability,inner-focus,115,115,85,90,75,100,580,TRUE,FALSE,generation-ii,NA,0,NA,0.58,0,0
245,suicune,water,No_type,pressure,No_ability,inner-focus,100,75,115,90,115,85,580,TRUE,FALSE,generation-ii,NA,0,0.66491,0.46,0,0
246,larvitar,rock,ground,guts,No_ability,sand-veil,50,64,50,45,50,41,300,FALSE,FALSE,generation-ii,0,0,0,0,0,0
247,pupitar,rock,ground,shed-skin,No_ability,None,70,84,70,65,70,51,410,FALSE,FALSE,generation-ii,0,0,0,0,0,0
248,tyranitar,rock,dark,sand-stream,No_ability,unnerve,100,134,110,95,100,61,600,FALSE,FALSE,generation-ii,0.09196,NA,NA,0.23,1.01,5.43
248,tyranitar-mega,rock,dark,sand-stream,No_ability,None,100,164,150,95,120,71,700,FALSE,FALSE,generation-ii,0,0,0,0,0,0
249,lugia,psychic,flying,pressure,No_ability,multiscale,106,90,130,90,154,110,680,TRUE,FALSE,generation-ii,0.62118,0,0.26919,0.42,0,0
250,ho-oh,fire,flying,pressure,No_ability,regenerator,106,130,90,110,154,90,680,TRUE,FALSE,generation-ii,NA,0,0.68097,0.42,0,0
251,celebi,psychic,grass,natural-cure,No_ability,None,100,100,100,100,100,100,600,FALSE,TRUE,generation-ii,0,0,0,0,0,0
252,treecko,grass,No_type,overgrow,No_ability,unburden,40,45,35,65,55,70,310,FALSE,FALSE,generation-iii,0,0,0,0,0,0
253,grovyle,grass,No_type,overgrow,No_ability,unburden,50,65,45,85,65,95,405,FALSE,FALSE,generation-iii,0,0,0,0,0,0
254,sceptile,grass,No_type,overgrow,No_ability,unburden,70,85,65,105,85,120,530,FALSE,FALSE,generation-iii,0.00277,0,0.10106,0,0,0
254,sceptile-mega,grass,dragon,lightning-rod,No_ability,None,70,110,75,145,85,145,630,FALSE,FALSE,generation-iii,0,0,0,0,0,0
255,torchic,fire,No_type,blaze,No_ability,speed-boost,45,60,40,70,50,45,310,FALSE,FALSE,generation-iii,0,0,0,0,0,0
256,combusken,fire,fighting,blaze,No_ability,speed-boost,60,85,60,85,60,55,405,FALSE,FALSE,generation-iii,0,0,0,0,0,0
257,blaziken,fire,fighting,blaze,No_ability,speed-boost,80,120,70,110,70,80,530,FALSE,FALSE,generation-iii,0.00474,0,0.12005,0,0,0.6
257,blaziken-mega,fire,fighting,speed-boost,No_ability,None,80,160,80,130,80,100,630,FALSE,FALSE,generation-iii,0,0,0,0,0,0
258,mudkip,water,No_type,torrent,No_ability,damp,50,70,50,50,50,40,310,FALSE,FALSE,generation-iii,0,0,0,0.04,0,0
259,marshtomp,water,ground,torrent,No_ability,damp,70,85,70,60,70,50,405,FALSE,FALSE,generation-iii,0,0,0,0,0,0
260,swampert,water,ground,torrent,No_ability,damp,100,110,90,85,90,60,535,FALSE,FALSE,generation-iii,0.05529,0,0.03132,0,0,0
260,swampert-mega,water,ground,swift-swim,No_ability,None,100,150,110,95,110,70,635,FALSE,FALSE,generation-iii,0,0,0,0,0,0
261,poochyena,dark,No_type,run-away,quick-feet,rattled,35,55,35,30,30,35,220,FALSE,FALSE,generation-iii,0,0,0,0,0,0
262,mightyena,dark,No_type,intimidate,quick-feet,moxie,70,90,70,60,60,70,420,FALSE,FALSE,generation-iii,0,0.00347,1.00E-05,0,0,0.04
263,zigzagoon,normal,No_type,pickup,gluttony,quick-feet,38,30,41,30,41,60,240,FALSE,FALSE,generation-iii,0,0,0,0,0,0
263,zigzagoon-galar,dark,normal,pickup,gluttony,quick-feet,38,30,41,30,41,60,240,FALSE,FALSE,generation-iii,0,0,0,0,0,0
264,linoone,normal,No_type,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,FALSE,FALSE,generation-iii,0,0,0,0,0,0
264,linoone-galar,dark,normal,pickup,gluttony,quick-feet,78,70,61,50,61,100,420,FALSE,FALSE,generation-iii,0,0,0,0,0,0
265,wurmple,bug,No_type,shield-dust,No_ability,run-away,45,45,35,20,30,20,195,FALSE,FALSE,generation-iii,0,0,0,0,0,0
266,silcoon,bug,No_type,shed-skin,No_ability,None,50,35,55,25,25,15,205,FALSE,FALSE,generation-iii,0,0,0,0,0,0
267,beautifly,bug,flying,swarm,No_ability,rivalry,60,70,50,100,50,65,395,FALSE,FALSE,generation-iii,0,0,0,0,0,0
268,cascoon,bug,No_type,shed-skin,No_ability,None,50,35,55,25,25,15,205,FALSE,FALSE,generation-iii,0,0,0,0,0,0
269,dustox,bug,poison,shield-dust,No_ability,compound-eyes,60,50,70,50,90,65,385,FALSE,FALSE,generation-iii,0,0,0,0,0,0
270,lotad,water,grass,swift-swim,rain-dish,own-tempo,40,30,30,40,50,30,220,FALSE,FALSE,generation-iii,0,0,0,0,0,0
271,lombre,water,grass,swift-swim,rain-dish,own-tempo,60,50,50,60,70,50,340,FALSE,FALSE,generation-iii,0,0,0,0,0,0
272,ludicolo,water,grass,swift-swim,rain-dish,own-tempo,80,70,70,90,100,70,480,FALSE,FALSE,generation-iii,0.33429,0.53027,0.06202,0,0.06,0
273,seedot,grass,No_type,chlorophyll,early-bird,pickpocket,40,40,50,30,30,30,220,FALSE,FALSE,generation-iii,0,0,0,0,0,0
